Word,First,Second,Third,Fourth,Fifth,Synonyms,Antonyms,Choose the Right Synonym,Priorty
Brusque,markedly short and abrupt,blunt in manner or speech often to the point of ungracious harshness,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"abrupt, bluff, blunt, crusty, curt, downright, short, short-spoken, snippy, unceremonious","circuitous, mealymouthed","bluff, blunt, brusque, curt, crusty, gruff mean abrupt and unceremonious in speech and manner

bluff connotes good-natured outspokenness and unconventionality
a bluff manner

blunt suggests directness of expression in disregard of others' feelings
a blunt appraisal

brusque applies to a sharpness or ungraciousness
a brusque response

curt implies disconcerting shortness or rude conciseness
a curt command

crusty suggests a harsh or surly manner sometimes concealing an inner kindliness
a crusty exterior

gruff suggests a hoarse or husky speech which may imply bad temper but more often implies embarrassment or shyness
puts on a gruff pose",first
Buds,"a small lateral or terminal protuberance on the stem of a plant that may develop into a flower, leaf, or shoot",to grow or develop from or as if from a bud,something not yet mature or at full development,buddy,marijuana,"bairn 
[chiefly Scottish], bambino, chap 
[Southern & Midland], chick, child, cub, juvenile, kid, kiddie 
 (also kiddy), kiddo, moppet, sprat, sprout, squirt, whelp, youngling, youngster, youth","adult, grown-up",Oops! So Empty!,third
Bun,a knot of hair shaped like a bun,a sweet or plain small bread,buttocks,Oops! So Empty!,Oops! So Empty!,"backside, behind, booty 
 (also bootie) 
[slang], bottom, breech, bum, butt, buttocks, caboose, can, cheeks, derriere 
 (or derrière), duff, fanny, fundament, hams, haunches, heinie 
[slang], hunkers, keister 
 (also keester) 
[slang], nates, posterior, rear, rear end, rump, seat, tail, tail end, tush 
[slang]","backside, behind, booty 
 (also bootie) 
[slang], bottom, breech, bum, butt, buttocks, caboose, can, cheeks, derriere 
 (or derrière), duff, fanny, fundament, hams, haunches, heinie 
[slang], hunkers, keister 
 (also keester) 
[slang], nates, posterior, rear, rear end, rump, seat, tail, tail end, tush 
[slang]",Oops! So Empty!,third
Cacophony,harsh or jarring sound,an incongruous or chaotic mixture,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"babel, blare, bluster, bowwow, brawl, bruit 
[archaic], chatter, clamor, clangor, decibel(s), din, discordance, katzenjammer, noise, racket, rattle, roar","quiet, silence, silentness, still, stillness",Oops! So Empty!,third
Cad,a bus conductor,a man who acts with deliberate disregard for another's feelings or rights,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"bastard, beast, bleeder 
[British], blighter 
[chiefly British], boor, bounder, bugger, buzzard, chuff, churl, clown, creep, cretin, crud 
[slang], crumb 
[slang], cur, dirtbag 
[slang], dog, fink, heel, hound, jerk, joker, louse, lout, pill, rat, rat fink, reptile, rotter, schmuck 
[slang], scum, scumbag 
[slang], scuzzball 
[slang], skunk, sleaze, sleazebag 
[slang], sleazeball 
[slang], slime, slimeball 
[slang], slob, snake, so-and-so, sod 
[chiefly British], stinkard, stinker, swine, toad, varmint, vermin","bastard, beast, bleeder 
[British], blighter 
[chiefly British], boor, bounder, bugger, buzzard, chuff, churl, clown, creep, cretin, crud 
[slang], crumb 
[slang], cur, dirtbag 
[slang], dog, fink, heel, hound, jerk, joker, louse, lout, pill, rat, rat fink, reptile, rotter, schmuck 
[slang], scum, scumbag 
[slang], scuzzball 
[slang], skunk, sleaze, sleazebag 
[slang], sleazeball 
[slang], slime, slimeball 
[slang], slob, snake, so-and-so, sod 
[chiefly British], stinkard, stinker, swine, toad, varmint, vermin",Oops! So Empty!,first
Cadence,a rhythmic sequence or flow of sounds in language,a falling inflection of the voice,the modulated and rhythmic recurrence of a sound especially in nature,Oops! So Empty!,Oops! So Empty!,"beat, measure, meter, rhythm","beat, measure, meter, rhythm",Oops! So Empty!,second
Cajoled,to persuade with flattery or gentle urging especially in the face of reluctance,to deceive with soothing words or false promises,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"blandish, blarney, coax, palaver, soft-soap, sweet-talk, wheedle","blandish, blarney, coax, palaver, soft-soap, sweet-talk, wheedle","cajole, coax, soft-soap, blandish, wheedle mean to influence or persuade by pleasing words or actions

cajole suggests the deliberate use of flattery to persuade in the face of reluctance or reasonable objections
cajoled him into cheating on the final exam

coax implies gentle and persistent words or actions employed to produce a desired effect
coaxed the cat out of the tree

soft-soap refers to using smooth and somewhat insincere talk usually for personal gain
politicians soft-soaping eligible voters

blandish implies a more open desire to win a person over by effusive praise and affectionate actions
legislators blandished with promises of support

wheedle suggests more strongly than cajole the use of seductive appeal or artful words in persuading
hucksters wheedling her life's savings out of her",third
Callous,being hardened and thickened,feeling no emotion,having calluses,Oops! So Empty!,Oops! So Empty!,"affectless, case-hardened, cold-blooded, compassionless, desensitized, hard, hard-boiled, hard-hearted, heartless, indurate, inhuman, inhumane, insensate, insensitive, ironhearted, merciless, obdurate, pachydermatous, pitiless, remorseless, ruthless, slash-and-burn, soulless, stony 
 (also stoney), stonyhearted, take-no-prisoners, thick-skinned, uncharitable, unfeeling, unmerciful, unsparing, unsympathetic","charitable, compassionate, humane, kindhearted, kindly, merciful, sensitive, softhearted, sympathetic, tender, tenderhearted, warm, warmhearted",Oops! So Empty!,first
Calumnies,a misrepresentation intended to harm another's reputation,the act of uttering false charges or misrepresentations maliciously calculated to harm another's reputation,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"aspersing, blackening, calumniation, character assassination, defamation, defaming, libel, libeling 
 (or libelling), maligning, slander, smearing, traducing, vilification, vilifying","aspersing, blackening, calumniation, character assassination, defamation, defaming, libel, libeling 
 (or libelling), maligning, slander, smearing, traducing, vilification, vilifying",Oops! So Empty!,first
Camaraderie,a spirit of friendly good-fellowship,a feeling of good friendship among the people in a group,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"brotherhood, community, companionship, company, comradery, comradeship, fellowship, society","brotherhood, community, companionship, company, comradery, comradeship, fellowship, society",Oops! So Empty!,third
Canine,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"dog, doggy 
 (or doggie), hound, pooch, tyke 
 (also tike)","dog, doggy 
 (or doggie), hound, pooch, tyke 
 (also tike)",Oops! So Empty!,third
Capricious,moved or controlled by a sudden desire,likely to change suddenly,governed or characterized by impulse or whim,not supported by the weight of evidence or established rules of law,Oops! So Empty!,"changeable, changeful, fickle, flickery, fluctuating, fluid, inconsistent, inconstant, mercurial, mutable, skittish, temperamental, uncertain, unpredictable, unsettled, unstable, unsteady, variable, volatile","certain, changeless, constant, immutable, invariable, predictable, settled, stable, stationary, steady, unchangeable, unchanging, unvarying","inconstant, fickle, capricious, mercurial, unstable mean lacking firmness or steadiness (as in purpose or devotion)

inconstant implies an incapacity for steadiness and an inherent tendency to change
an inconstant friend

fickle suggests unreliability because of perverse changeability and incapacity for steadfastness
performers discover how fickle fans can be

capricious suggests motivation by sudden whim or fancy and stresses unpredictability
an utterly capricious critic

mercurial implies a rapid changeability in mood
made anxious by her boss's mercurial temperament

unstable implies an incapacity for remaining in a fixed position or steady course and applies especially to a lack of emotional balance
too unstable to hold a job",third
Captious,marked by an often ill-natured inclination to stress faults and raise objections,"calculated to confuse, entrap, or entangle in argument",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"carping, caviling 
 (or cavilling), critical, faultfinding, hypercritical, judgmental, overcritical, rejective",uncritical,"critical, hypercritical, faultfinding, captious, carping, censorious mean inclined to look for and point out faults and defects

critical may also imply an effort to see a thing clearly and truly in order to judge it fairly
a critical essay

hypercritical suggests a tendency to judge by unreasonably strict standards
hypercritical disparagement of other people's work

faultfinding implies a querulous or exacting temperament
a faultfinding reviewer

captious suggests a readiness to detect trivial faults or raise objections on trivial grounds
a captious critic

carping implies an ill-natured or perverse picking of flaws
a carping editorial

censorious implies a disposition to be severely critical and condemnatory
the censorious tone of the review",second
Carnage,the flesh of slain animals or humans,great and usually bloody slaughter or injury (as in battle),Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"bloodbath, butchery, death, holocaust, massacre, slaughter","bloodbath, butchery, death, holocaust, massacre, slaughter",Oops! So Empty!,first
Carnal,relating to or given to crude bodily pleasures and appetites,"bodily, corporeal",temporal,Oops! So Empty!,Oops! So Empty!,"earthborn, earthbound, earthly, fleshly, material, mundane, sublunary, temporal, terrene, terrestrial, worldly","heavenly, nontemporal, unearthly, unworldly","carnal, fleshly, sensual, animal mean having a relation to the body

carnal may mean only this but more often connotes derogatorily an action or manifestation of a person's lower nature
gave in to carnal desires

fleshly is less derogatory than carnal
a saint who had experienced fleshly temptations

sensual may apply to any gratification of a bodily desire or pleasure but commonly implies sexual appetite with absence of the spiritual or intellectual
fleshpots providing sensual delights

animal stresses the physical as distinguished from the rational nature of a person
led a mindless animal existence",third
Carousel,a tournament or exhibition in which horsemen execute evolutions,merry-go-round,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third
Cartomancy,fortune-telling by means of playing cards,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first
Castigate,"to subject to severe punishment, reproof, or criticism",to punish or criticize harshly,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"baste, bawl out, berate, call down, chastise, chew out, dress down, flay, hammer, jaw, keelhaul, lambaste 
 (or lambast), lecture, rag, rail (at or against), rant (at), rate, ream (out), rebuke, reprimand, reproach, scold, score, tongue-lash, upbraid","baste, bawl out, berate, call down, chastise, chew out, dress down, flay, hammer, jaw, keelhaul, lambaste 
 (or lambast), lecture, rag, rail (at or against), rant (at), rate, ream (out), rebuke, reprimand, reproach, scold, score, tongue-lash, upbraid","punish, chastise, castigate, chasten, discipline, correct mean to inflict a penalty on in requital for wrongdoing

punish implies subjecting to a penalty for wrongdoing
punished for stealing

chastise may apply to either the infliction of corporal punishment or to verbal censure or denunciation
chastised his son for neglecting his studies

castigate usually implies a severe, typically public censure
an editorial castigating the entire city council

chasten suggests any affliction or trial that leaves one humbled or subdued
chastened by a landslide election defeat

discipline implies a punishing or chastening in order to bring under control
parents must discipline their children

correct implies punishing aimed at reforming an offender
the function of prison is to correct the wrongdoer",second
Castigated,"to subject to severe punishment, reproof, or criticism",to punish or criticize harshly,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"baste, bawl out, berate, call down, chastise, chew out, dress down, flay, hammer, jaw, keelhaul, lambaste 
 (or lambast), lecture, rag, rail (at or against), rant (at), rate, ream (out), rebuke, reprimand, reproach, scold, score, tongue-lash, upbraid","baste, bawl out, berate, call down, chastise, chew out, dress down, flay, hammer, jaw, keelhaul, lambaste 
 (or lambast), lecture, rag, rail (at or against), rant (at), rate, ream (out), rebuke, reprimand, reproach, scold, score, tongue-lash, upbraid","punish, chastise, castigate, chasten, discipline, correct mean to inflict a penalty on in requital for wrongdoing

punish implies subjecting to a penalty for wrongdoing
punished for stealing

chastise may apply to either the infliction of corporal punishment or to verbal censure or denunciation
chastised his son for neglecting his studies

castigate usually implies a severe, typically public censure
an editorial castigating the entire city council

chasten suggests any affliction or trial that leaves one humbled or subdued
chastened by a landslide election defeat

discipline implies a punishing or chastening in order to bring under control
parents must discipline their children

correct implies punishing aimed at reforming an offender
the function of prison is to correct the wrongdoer",second
Castigating,"to subject to severe punishment, reproof, or criticism",to punish or criticize harshly,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"baste, bawl out, berate, call down, chastise, chew out, dress down, flay, hammer, jaw, keelhaul, lambaste 
 (or lambast), lecture, rag, rail (at or against), rant (at), rate, ream (out), rebuke, reprimand, reproach, scold, score, tongue-lash, upbraid","baste, bawl out, berate, call down, chastise, chew out, dress down, flay, hammer, jaw, keelhaul, lambaste 
 (or lambast), lecture, rag, rail (at or against), rant (at), rate, ream (out), rebuke, reprimand, reproach, scold, score, tongue-lash, upbraid","punish, chastise, castigate, chasten, discipline, correct mean to inflict a penalty on in requital for wrongdoing

punish implies subjecting to a penalty for wrongdoing
punished for stealing

chastise may apply to either the infliction of corporal punishment or to verbal censure or denunciation
chastised his son for neglecting his studies

castigate usually implies a severe, typically public censure
an editorial castigating the entire city council

chasten suggests any affliction or trial that leaves one humbled or subdued
chastened by a landslide election defeat

discipline implies a punishing or chastening in order to bring under control
parents must discipline their children

correct implies punishing aimed at reforming an offender
the function of prison is to correct the wrongdoer",second
Cavillers,to raise trivial and frivolous objection,to raise trivial objections to,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"carp, fuss, niggle, nitpick, quibble","carp, fuss, niggle, nitpick, quibble",Oops! So Empty!,second
Cavorting,to leap or dance about in a lively manner,to engage in extravagant behavior,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"caper, disport, frisk, frolic, gambol, lark, rollick, romp, sport","caper, disport, frisk, frolic, gambol, lark, rollick, romp, sport",Oops! So Empty!,first
Ceaseless,continuing without cease,occurring without stop or over and over again,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"continual, continued, continuing, continuous, incessant, nonstop, perpetual, running, unbroken, unceasing, uninterrupted, unremitting","discontinuous, noncontinuous",Oops! So Empty!,third
Ceded,to transfer (all or part of one's liability as an insurer under an insurance policy) by reinsurance to another insurer,to yield or grant typically by treaty,to yield or grant usually by treaty,"assign, transfer",Oops! So Empty!,"cough up, deliver, give up, hand over, lay down, relinquish, render, surrender, turn in, turn over, yield","cough up, deliver, give up, hand over, lay down, relinquish, render, surrender, turn in, turn over, yield",Oops! So Empty!,third
Cerebral,of or relating to the brain or the intellect,appealing to intellectual appreciation,of or relating to the brain or mind,"of, relating to, or affecting the cerebrum",of or relating to the brain or the intellect,"blue, eggheaded, geeky, highbrow, highbrowed, intellectual, intellectualist, intellectualistic, long-haired 
 (or longhair), nerdish, nerdy","anti-intellectual, lowbrow, nonintellectual, philistine",Oops! So Empty!,third
Cessation,a temporary or final ceasing (as of action),a coming to a stop,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"arrest, arrestment, cease, check, close, closedown, closure, conclusion, cutoff, discontinuance, discontinuation, end, ending, expiration, finish, halt, lapse, offset, shutdown, shutoff, stay, stop, stoppage, surcease, termination","continuance, continuation",Oops! So Empty!,second
Charm,the chanting or reciting of a magic spell,something worn about the person to ward off evil or ensure good fortune,"a trait that fascinates, allures, or delights",a small ornament worn on a bracelet or chain,a fundamental quark that has an electric charge of +²/₃ and a measured energy of approximately 1.5 GeV,"amulet, fetish 
 (also fetich), mascot, mojo, periapt, phylactery, talisman","hoodoo, jinx","attract, allure, charm, captivate, fascinate, enchant mean to draw another by exerting a powerful influence

attract applies to any degree or kind of ability to exert influence over another
students attracted by the school's locale

allure implies an enticing by what is fair, pleasing, or seductive
an alluring smile

charm implies the power of casting a spell over the person or thing affected and so compelling a response
charmed by their hospitality

, but it may, like captivate, suggest no more than evoking delight or admiration
her performances captivated audiences

fascinate suggests a magical influence and tends to stress the ineffectiveness of attempts to resist
a story that continues to fascinate children

enchant is perhaps the strongest of these terms in stressing the appeal of the agent and the degree of delight evoked in the subject
hopelessly enchanted by her beauty",third
Chaste,severely simple in design or execution,innocent of unlawful sexual intercourse,pure in thought and act,celibate,Oops! So Empty!,"clean, decent, G-rated, immaculate, modest, pure, vestal, virgin, virginal","coarse, dirty, filthy, immodest, impure, indecent, obscene, smutty, unchaste, unclean, vulgar","chaste, pure, modest, decent mean free from all taint of what is lewd or salacious

chaste primarily implies a refraining from acts or even thoughts or desires that are not virginal or not sanctioned by marriage vows
they maintained chaste relations

pure differs from chaste in implying innocence and absence of temptation rather than control of one's impulses and actions
the pure of heart

modest and decent apply especially to deportment and dress as outward signs of inward chastity or purity
preferred more modest swimsuits

decent people didn't go to such movies",third
Chattel,an item of tangible movable or immovable property except real estate and things (such as buildings) connected with real property,an enslaved person held as the legal property of another,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"bondman 
 (also bondsman), slave, thrall",freeman,Oops! So Empty!,third
Cherished,to hold dear,to entertain or harbor in the mind deeply and resolutely,to hold dear,to remember or hold in a deeply felt way,Oops! So Empty!,"adore, love, worship","abhor, abominate, despise, detest, execrate, hate, loathe","appreciate, value, prize, treasure, cherish mean to hold in high estimation

appreciate often connotes sufficient understanding to enjoy or admire a thing's excellence
appreciates fine wine

value implies rating a thing highly for its intrinsic worth
values our friendship

prize implies taking a deep pride in something one possesses
Americans prize their freedom

treasure emphasizes jealously safeguarding something considered precious
a treasured memento

cherish implies a special love and care for something
cherishes her children above all",third
Cherishing,to hold dear,to entertain or harbor in the mind deeply and resolutely,to hold dear,to remember or hold in a deeply felt way,Oops! So Empty!,"adore, love, worship","abhor, abominate, despise, detest, execrate, hate, loathe","appreciate, value, prize, treasure, cherish mean to hold in high estimation

appreciate often connotes sufficient understanding to enjoy or admire a thing's excellence
appreciates fine wine

value implies rating a thing highly for its intrinsic worth
values our friendship

prize implies taking a deep pride in something one possesses
Americans prize their freedom

treasure emphasizes jealously safeguarding something considered precious
a treasured memento

cherish implies a special love and care for something
cherishes her children above all",first
Chiding,to speak out in angry or displeased rebuke,to voice disapproval to,to express mild disapproval of (someone),to scold gently,Oops! So Empty!,"admonish, rebuke, reprimand, reproach, reprove, tick off","admonish, rebuke, reprimand, reproach, reprove, tick off","reprove, rebuke, reprimand, admonish, reproach, chide mean to criticize adversely

reprove implies an often kindly intent to correct a fault
gently reproved my table manners

rebuke suggests a sharp or stern reproof
the papal letter rebuked dissenting clerics

reprimand implies a severe, formal, often public or official rebuke
reprimanded by the ethics committee

admonish suggests earnest or friendly warning and counsel
admonished by my parents to control expenses

reproach and chide suggest displeasure or disappointment expressed in mild reproof or scolding
reproached him for tardiness

chided by their mother for untidiness",first
Chimed,to make a musical and especially a harmonious sound,to be or act in accord,to cause to sound musically by striking,to produce by chiming,to call or indicate by chiming,"agree, assort, blend, chime in, conform, consort, coordinate, groove, harmonize","clash, collide, conflict",Oops! So Empty!,third
Chisel,to cut or work with or as if with a chisel,to employ shrewd or unfair practices on in order to obtain one's end,to work with or as if with a chisel,to employ shrewd or unfair practices,Oops! So Empty!,"beat, bilk, bleed, cheat, chouse, con, cozen, defraud, diddle, do, do in, euchre, fiddle, fleece, flimflam, gaff, hose 
[slang], hustle, mulct, nobble 
[British slang], pluck, ream, rip off, rook, screw, shake down, short, shortchange, skin, skunk, squeeze, stick, stiff, sting, sucker, swindle, thimblerig, victimize","beat, bilk, bleed, cheat, chouse, con, cozen, defraud, diddle, do, do in, euchre, fiddle, fleece, flimflam, gaff, hose 
[slang], hustle, mulct, nobble 
[British slang], pluck, ream, rip off, rook, screw, shake down, short, shortchange, skin, skunk, squeeze, stick, stiff, sting, sucker, swindle, thimblerig, victimize",Oops! So Empty!,third
Chivalry,"the system, spirit, or customs of medieval knighthood","the system, spirit, ways, or customs of knighthood",the qualities of the ideal knight,gallant or distinguished gentlemen,mounted men-at-arms,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first
Churchyard,a yard that belongs to a church and is often used as a burial ground,a piece of land that belongs to and is usually close to a church and that is often used as a place to bury people,an area of land that belongs to and usually surrounds a church and that is often used as a burial ground,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third
Circlet,a little circle,"a band made of metal, flowers, etc., that is usually worn on the head",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first
Climax,a figure of speech in which a series of phrases or sentences is arranged in ascending order of rhetorical forcefulness,a relatively stable ecological stage or community especially of plants that is achieved through successful adaptation to an environment,the highest or most intense point,the highest point,orgasm,"climacteric, corner, landmark, milepost, milestone, turning point, watershed","cap (off), crown, culminate","summit, peak, pinnacle, climax, apex, acme, culmination mean the highest point attained or attainable

summit implies the topmost level attainable
at the summit of the Victorian social scene

peak suggests the highest among other high points
an artist working at the peak of her powers

pinnacle suggests a dizzying and often insecure height
the pinnacle of worldly success

climax implies the highest point in an ascending series
the war was the climax to a series of hostile actions

apex implies the point where all ascending lines converge
the apex of Dutch culture

acme implies a level of quality representing the perfection of a thing
a statue that was once deemed the acme of beauty

culmination suggests the outcome of a growth or development representing an attained objective
the culmination of years of effort",first
Coercion,"the act, process, or power of coercing",the use of express or implied threats of violence or reprisal (as discharge from employment) or other intimidating behavior that puts a person in immediate fear of the consequences in order to compel that person to act against his or her will,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"arm-twisting, compulsion, constraint, duress, force, pressure","arm-twisting, compulsion, constraint, duress, force, pressure",Oops! So Empty!,first
Colluding,to work together secretly especially in order to do something illegal or dishonest,to work with others secretly especially in order to do something illegal or dishonest,to agree or cooperate secretly for a fraudulent or otherwise illegal purpose,Oops! So Empty!,Oops! So Empty!,"compass, connive, conspire, contrive, intrigue, machinate, plot, put up, scheme","compass, connive, conspire, contrive, intrigue, machinate, plot, put up, scheme",Oops! So Empty!,third
Complacently,marked by self-satisfaction especially when accompanied by unawareness of actual dangers or deficiencies,complaisant sense 1,unconcerned,Oops! So Empty!,Oops! So Empty!,"apathetic, casual, disinterested, incurious, indifferent, insensible, insouciant, nonchalant, perfunctory, pococurante, unconcerned, uncurious, uninterested","concerned, interested",Oops! So Empty!,second
Conduct,to direct or take part in the operation or management of,to cause (oneself) to act or behave in a particular and especially in a controlled manner,to bring by or as if by leading,to convey in a channel,to show the way,"administer, administrate, carry on, control, direct, govern, guide, handle, keep, manage, operate, overlook, oversee, preside (over), regulate, run, steward, superintend, supervise, tend","administration, care, charge, control, direction, governance, government, guidance, handling, intendance, management, operation, oversight, presidency, regulation, running, stewardship, superintendence, superintendency, supervision","conduct, manage, control, direct mean to use one's powers to lead, guide, or dominate

conduct implies taking responsibility for the acts and achievements of a group
conducted negotiations

manage implies direct handling and manipulating or maneuvering toward a desired result
manages a meat market

control implies a regulating or restraining in order to keep within bounds or on a course
controlling his appetite

direct implies constant guiding and regulating so as to achieve smooth operation
directs the store's day-to-day business",first
Conjecture,inference formed without proof or sufficient evidence,to arrive at or deduce by surmise or guesswork,to make conjectures as to,Oops! So Empty!,Oops! So Empty!,"guess, shot, supposition, surmise","calculate, call, estimate, figure, gauge 
 (also gage), guess, judge, make, place, put, reckon, suppose",Oops! So Empty!,third
Connoisseur,one who enjoys with discrimination and appreciation of subtleties,expert,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"cognoscente, dilettante 
[dated]","cognoscente, dilettante 
[dated]",Oops! So Empty!,first
Consecration,the act or ceremony of consecrating,the state of being consecrated,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"blessing, hallowing, sanctification","blessing, hallowing, sanctification",Oops! So Empty!,fourth
Consolatory,the act or an instance of consoling,something that consoles,"something that lessens disappointment, misery, or grief",the act of comforting or the state of being comforted,Oops! So Empty!,"comforting, consoling, reassurance, solace, solacing","comforting, consoling, reassurance, solace, solacing",Oops! So Empty!,third
Consternation,amazement or dismay that hinders or throws into confusion,a strong feeling of surprise or sudden disappointment that causes confusion,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,second
Contortionist,one who contorts,a performer who twists his or her body into unusual positions,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third
Contrite,feeling or showing sorrow and remorse for a sin or shortcoming,feeling or showing sorrow for having done something bad or wrong,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"apologetic, compunctious, penitent, regretful, remorseful, repentant, rueful, sorry","impenitent, remorseless, unapologetic, unrepentant",Oops! So Empty!,third
Conviction,the act or process of finding a person guilty of a crime especially in a court of law,a strong persuasion or belief,the act of convincing a person of error or of compelling the admission of a truth,a strong belief or opinion,the state of mind of a person who is sure that what he or she believes or says is true,"assurance, assuredness, certainty, certitude, cocksureness, confidence, doubtlessness, face, positiveness, satisfaction, sureness, surety","doubt, incertitude, nonconfidence, uncertainty","certainty, certitude, conviction mean a state of being free from doubt

certainty and certitude are very close; certainty may stress the existence of objective proof
claims that cannot be confirmed with scientific certainty

, while certitude may emphasize a faith in something not needing or not capable of proof
believes with certitude in an afterlife

conviction applies especially to belief strongly held by an individual
holds firm convictions on every issue",third
Copiously,yielding something abundantly,"full of thought, information, or matter",present in large quantity,Oops! So Empty!,Oops! So Empty!,"galore, gushing, lavish, profuse, riotous","dribbling, trickling","plentiful, ample, abundant, copious mean more than sufficient without being excessive

plentiful implies a great or rich supply
peaches are plentiful this summer

ample implies a generous sufficiency to satisfy a particular requirement
ample food to last the winter

abundant suggests an even greater or richer supply than does plentiful
streams abundant with fish

copious stresses largeness of supply rather than fullness or richness
copious examples of bureaucratic waste",second
Cordiality,sincere affection and kindness,sincere warmth and kindness,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"amity, benevolence, brotherhood, charity, cordialness, fellowship, friendliness, friendship, gemütlichkeit, good-fellowship, goodwill, kindliness, neighborliness","ill will, malevolence, venom",Oops! So Empty!,third
Cordially,"showing or marked by warm and often hearty friendliness, favor, or approval","tending to revive, cheer, or invigorate",of or relating to the heart,a stimulating medicine or drink,liqueur,"amicable, bonhomous, buddy-buddy, chummy, collegial, companionable, comradely, friendly, genial, hail-fellow, hail-fellow-well-met, hearty, matey 
[chiefly British], neighborly, palsy, palsy-walsy 
[slang], warm, warmhearted","antagonistic, hostile, unfriendly","gracious, cordial, affable, genial, sociable mean markedly pleasant and easy in social intercourse

gracious implies courtesy and kindly consideration
the gracious award winner thanked her colleagues

cordial stresses warmth and heartiness
our host was cordial as he greeted us

affable implies easy approachability and readiness to respond pleasantly to conversation or requests or proposals
though wealthy, she was affable to all

genial stresses cheerfulness and even joviality
a genial companion with a ready quip

sociable suggests a genuine liking for the companionship of others
sociable people who enjoy entertaining",third
Corridor,a passageway (as in a hotel or office building) into which compartments or rooms open,a usually narrow passageway or route,a densely populated strip of land including two or more major cities,Oops! So Empty!,Oops! So Empty!,"belt, land, neck, part(s), region, tract, zone","belt, land, neck, part(s), region, tract, zone",Oops! So Empty!,third
Creed,a brief authoritative formula of religious belief,a set of fundamental beliefs,a statement of the basic beliefs of a religious faith,a set of guiding rules or beliefs,Oops! So Empty!,"credo, doctrine, dogma, gospel, ideology 
 (also idealogy), philosophy, testament","credo, doctrine, dogma, gospel, ideology 
 (also idealogy), philosophy, testament",Oops! So Empty!,third
Crescent,the moon at any stage between new moon and first quarter and between last quarter and the succeeding new moon when less than half of the illuminated hemisphere is visible,something shaped like a crescent,the shape of the visible part of the moon when it is less than half full,something shaped like a crescent moon,a crescent-shaped anatomical structure or section,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first
Cringe,to recoil in distaste,to shrink in fear or servility,to behave in an excessively humble or servile way,to draw in or contract one's muscles involuntarily (as from cold or pain),to shrink in fear,"blench, flinch, quail, recoil, shrink, squinch, wince","blench, flinch, quail, recoil, shrink, squinch, wince","fawn, toady, truckle, cringe, cower mean to behave abjectly before a superior

fawn implies seeking favor by servile flattery or exaggerated attention
waiters fawning over a celebrity

toady suggests the attempt to ingratiate oneself by an abjectly menial or subservient attitude
toadying to his boss

truckle implies the subordination of oneself and one's desires or judgment to those of a superior
truckling to a powerful lobbyist

cringe suggests a bowing or shrinking in fear or servility
a cringing sycophant

cower suggests a display of abject fear in the company of threatening or domineering people
cowering before a bully",second
