,Word,First,Second,Third,Fourth,Fifth,Synonyms,Antonyms,Choose the Right Synonym,Priorty,Choose the Right Synonym Final
75,Dolt,a stupid person,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"airhead, birdbrain, blockhead, bonehead, bubblehead, chowderhead, chucklehead, clodpoll 
 (or clodpole), clot 
[British], cluck, clunk, cretin, cuddy 
 (or cuddie) 
[British dialect], deadhead, dim bulb 
[slang], dimwit, dip, dodo, donkey, doofus 
[slang], dope, dork 
[slang], dullard, dum-dum, dumbbell, dumbhead, dummkopf, dummy, dunce, dunderhead, fathead, gander, golem, goof, goon, half-wit, hammerhead, hardhead, idiot, ignoramus, imbecile, jackass, know-nothing, knucklehead, lamebrain, loggerhead 
[chiefly dialect], loon, lump, lunkhead, meathead, mome 
[archaic], moron, mug 
[chiefly British], mutt, natural, nimrod 
[slang], nincompoop, ninny, ninnyhammer, nit 
[chiefly British], nitwit, noddy, noodle, numskull 
 (or numbskull), oaf, pinhead, prat 
[British], ratbag 
[chiefly Australian], saphead, schlub 
 (also shlub) 
[slang], schnook 
[slang], simpleton, stock, stupe, stupid, thickhead, turkey, woodenhead, yahoo, yo-yo","brain, genius",Oops! So Empty!,first,Oops! So Empty!
76,Dour,"stern, harsh","obstinate, unyielding","gloomy, sullen",Oops! So Empty!,Oops! So Empty!,"austere, fierce, flinty, forbidding, grim, gruff, intimidating, lowering 
 (also louring), rough, rugged, severe, stark, steely, stern, ungentle","benign, benignant, gentle, mild, nonintimidating, tender",Oops! So Empty!,third,Oops! So Empty!
77,Dowager,a widow holding property or a title from her deceased husband,a dignified elderly woman,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"dame, grande dame, matriarch, matron","dame, grande dame, matriarch, matron",Oops! So Empty!,third,Oops! So Empty!
78,Drab,of the dull brown color of drab (see drab entry 3 sense 1),any of various cloths of a dull brown or gray color,a light olive brown,slattern,prostitute,"bawd, call girl, cocotte, courtesan, hooker, hustler, prostitute, sex worker, streetwalker, tart, whore","absorbing, engaging, engrossing, gripping, interesting, intriguing, involving, riveting",Oops! So Empty!,first,Oops! So Empty!
79,Droll,"having a humorous, whimsical, or odd quality",an amusing person,to make fun,having an odd and amusing quality,having an odd or amusing quality,"antic, chucklesome, comedic, comic, comical, farcical, funny, hilarious, humoristic, humorous, hysterical 
 (also hysteric), killing, laughable, ludicrous, ridiculous, riotous, risible, screaming, sidesplitting, uproarious","humorless, lame, unamusing, uncomic, unfunny, unhumorous, unhysterical",Oops! So Empty!,first,Oops! So Empty!
80,Dubious,giving rise to uncertainty,unsettled in opinion,questionable sense 1,causing doubt,feeling doubt,"debatable, disputable, dodgy 
[chiefly British], doubtable, doubtful, dubitable, equivocal, fishy, problematic 
 (also problematical), queer, questionable, shady, shaky, suspect, suspicious","certain, hands-down, incontestable, indisputable, indubitable, questionless, sure, undeniable, undoubted, unproblematic, unquestionable","doubtful, dubious, problematic, questionable mean not affording assurance of the worth, soundness, or certainty of something

doubtful implies little more than a lack of conviction or certainty
doubtful about whether I said the right thing

dubious stresses suspicion, mistrust, or hesitation
dubious about the practicality of the scheme

problematic applies especially to things whose existence, meaning, fulfillment, or realization is highly uncertain
whether the project will ever be finished is problematic

questionable may imply no more than the existence of doubt but usually suggests that the suspicions are well-grounded
a man of questionable honesty",first,"doubtful, dubious, problematic, questionable mean not affording assurance of the worth, soundness, or certainty of something<br><br>doubtful implies little more than a lack of conviction or certainty<br>doubtful about whether I said the right thing<br><br>dubious stresses suspicion, mistrust, or hesitation<br>dubious about the practicality of the scheme<br><br>problematic applies especially to things whose existence, meaning, fulfillment, or realization is highly uncertain<br>whether the project will ever be finished is problematic<br><br>questionable may imply no more than the existence of doubt but usually suggests that the suspicions are well-grounded<br>a man of questionable honesty"
81,Duress,forcible restraint or restriction,compulsion (see compulsion sense 1a) by threat,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"arm-twisting, coercion, compulsion, constraint, force, pressure","arm-twisting, coercion, compulsion, constraint, force, pressure",Oops! So Empty!,third,Oops! So Empty!
82,Egomaniacal,the quality or state of being extremely egocentric,the quality or state of being extremely egocentric,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"egocentricity, egocentrism, egoism, egotism, narcissism, navel-gazing, self-absorption, self-centeredness, self-concern, self-interest, self-involvement, self-preoccupation, self-regard, selfishness, selfness","self-abandonment, self-forgetfulness, selflessness, unselfishness",Oops! So Empty!,third,Oops! So Empty!
83,Elicits,"to call forth or draw out (something, such as information or a response)",to draw forth or bring out (something latent or potential),Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"educe, evoke, inspire, raise","educe, evoke, inspire, raise","educe, evoke, elicit, extract, extort mean to draw out something hidden, latent, or reserved

educe implies the bringing out of something potential or latent
educed order out of chaos

evoke implies a strong stimulus that arouses an emotion or an interest or recalls an image or memory
a song that evokes warm memories

elicit usually implies some effort or skill in drawing forth a response
careful questioning elicited the truth

extract implies the use of force or pressure in obtaining answers or information
extracted a confession from him

extort suggests a wringing or wresting from one who resists strongly
extorted their cooperation by threatening to inform",third,"educe, evoke, elicit, extract, extort mean to draw out something hidden, latent, or reserved<br><br>educe implies the bringing out of something potential or latent<br>educed order out of chaos<br><br>evoke implies a strong stimulus that arouses an emotion or an interest or recalls an image or memory<br>a song that evokes warm memories<br><br>elicit usually implies some effort or skill in drawing forth a response<br>careful questioning elicited the truth<br><br>extract implies the use of force or pressure in obtaining answers or information<br>extracted a confession from him<br><br>extort suggests a wringing or wresting from one who resists strongly<br>extorted their cooperation by threatening to inform"
84,Eloquent,marked by forceful and fluent expression,vividly or movingly expressive or revealing,having or showing clear and forceful expression,clearly showing some feeling or meaning,Oops! So Empty!,"articulate, fluent, silver-tongued, well-spoken","inarticulate, ineloquent, unvocal",Oops! So Empty!,first,Oops! So Empty!
85,Emaciated,very thin and feeble especially from lack of nutrition or illness,very thin because of hunger or disease,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"cadaverous, gaunt, haggard, skeletal, wasted","cadaverous, gaunt, haggard, skeletal, wasted",Oops! So Empty!,second,Oops! So Empty!
86,Embargo,an order by a common carrier or public regulatory agency prohibiting or restricting freight transportation,an order of a government prohibiting the departure of commercial ships from its ports,a legal prohibition on commerce,"stoppage, impediment",Oops! So Empty!,"ban, interdict, interdiction, prohibition, proscription, veto",prescription,Oops! So Empty!,third,Oops! So Empty!
87,Embellished,to make beautiful with ornamentation,to heighten the attractiveness of by adding decorative or fanciful details,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"color, elaborate (on), embroider, exaggerate, hyperbolize, magnify, pad, stretch","color, elaborate (on), embroider, exaggerate, hyperbolize, magnify, pad, stretch","adorn, decorate, ornament, embellish, beautify, deck, garnish mean to enhance the appearance of something by adding something unessential

adorn implies an enhancing by something beautiful in itself
a diamond necklace adorned her neck

decorate suggests relieving plainness or monotony by adding beauty of color or design
decorate a birthday cake

ornament and embellish imply the adding of something extraneous, ornament stressing the heightening or setting off of the original
a white house ornamented with green shutters

, embellish often stressing the adding of superfluous or adventitious ornament
embellish a page with floral borders

beautify adds to embellish a suggestion of counterbalancing plainness or ugliness
will beautify the grounds with flower beds

deck implies the addition of something that contributes to gaiety, splendor, or showiness
a house all decked out for Christmas

garnish suggests decorating with a small final touch and is used especially in referring to the serving of food
an entrée garnished with parsley",third,"adorn, decorate, ornament, embellish, beautify, deck, garnish mean to enhance the appearance of something by adding something unessential<br><br>adorn implies an enhancing by something beautiful in itself<br>a diamond necklace adorned her neck<br><br>decorate suggests relieving plainness or monotony by adding beauty of color or design<br>decorate a birthday cake<br><br>ornament and embellish imply the adding of something extraneous, ornament stressing the heightening or setting off of the original<br>a white house ornamented with green shutters<br><br>, embellish often stressing the adding of superfluous or adventitious ornament<br>embellish a page with floral borders<br><br>beautify adds to embellish a suggestion of counterbalancing plainness or ugliness<br>will beautify the grounds with flower beds<br><br>deck implies the addition of something that contributes to gaiety, splendor, or showiness<br>a house all decked out for Christmas<br><br>garnish suggests decorating with a small final touch and is used especially in referring to the serving of food<br>an entrée garnished with parsley"
88,Emulate,to strive to equal or excel,to equal or approach equality with,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"add up (to), amount (to), come (to), correspond (to), equal","add up (to), amount (to), come (to), correspond (to), equal",Oops! So Empty!,first,Oops! So Empty!
89,Endearing,arousing feelings of affection or admiration,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"adorable, darling, dear, disarming, lovable 
 (also loveable), lovesome, precious, sweet, winning, winsome","abhorrent, abominable, detestable, hateful, loathsome, odious, unlovable",Oops! So Empty!,first,Oops! So Empty!
90,Entourage,one's attendants or associates,surroundings,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"cortege 
 (also cortège), following, posse, retinue, suite, tail, train","cortege 
 (also cortège), following, posse, retinue, suite, tail, train",Oops! So Empty!,third,Oops! So Empty!
91,Enunciated,to make a definite or systematic statement of,to pronounce words or parts of words,to make known publicly,"articulate, pronounce",Oops! So Empty!,articulate,articulate,Oops! So Empty!,third,Oops! So Empty!
92,Espouse,to take up and support as a cause,marry,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"marry, match, wed","marry, match, wed","adopt, embrace, espouse mean to take an opinion, policy, or practice as one's own

adopt implies accepting something created by another or foreign to one's nature
forced to adopt new policies

embrace implies a ready or happy acceptance
embraced the customs of their new homeland

espouse adds an implication of close attachment to a cause and a sharing of its fortunes
espoused the cause of women's rights",third,"adopt, embrace, espouse mean to take an opinion, policy, or practice as one's own<br><br>adopt implies accepting something created by another or foreign to one's nature<br>forced to adopt new policies<br><br>embrace implies a ready or happy acceptance<br>embraced the customs of their new homeland<br><br>espouse adds an implication of close attachment to a cause and a sharing of its fortunes<br>espoused the cause of women's rights"
93,Espresso,coffee brewed by forcing hot water through finely ground darkly roasted coffee beans,a cup of espresso,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third,Oops! So Empty!
94,Euphoria,a feeling of well-being or elation,a feeling of great happiness and excitement,a feeling of well-being or elation,Oops! So Empty!,Oops! So Empty!,"cloud nine, ecstasy, elatedness, elation, exhilaration, heaven, high, intoxication, paradise, rapture, rhapsody, seventh heaven, swoon, transport",depression,Oops! So Empty!,first,Oops! So Empty!
95,Evocation,the act or fact of evoking,induction sense 3c,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,second,Oops! So Empty!
96,Evocative,evoking or tending to evoke an especially emotional response,"bringing thoughts, memories, or feelings into the mind",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"reminiscent, suggestive",unreminiscent,Oops! So Empty!,first,Oops! So Empty!
97,Ewer,a vase-shaped pitcher or jug,a type of pitcher or jug that is shaped like a vase and that was used in the past for holding water,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"flagon, jug, pitcher","flagon, jug, pitcher",Oops! So Empty!,third,Oops! So Empty!
98,Exodus,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"gush, outflow, outpour, outpouring","flux, inflow, influx, inrush",Oops! So Empty!,first,Oops! So Empty!
99,Exorbitant,not coming within the scope of the law,"exceeding the customary or appropriate limits in intensity, quality, amount, or size",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"baroque, devilish, excessive, extravagant, extreme, fancy, immoderate, inordinate, insane, intolerable, lavish, overdue, overextravagant, overmuch, overweening, plethoric, steep, stiff, towering, unconscionable, undue, unmerciful","middling, moderate, modest, reasonable, temperate","excessive, immoderate, inordinate, extravagant, exorbitant, extreme mean going beyond a normal limit

excessive implies an amount or degree too great to be reasonable or acceptable
excessive punishment

immoderate implies lack of desirable or necessary restraint
immoderate spending

inordinate implies an exceeding of the limits dictated by reason or good judgment
inordinate pride

extravagant implies an indifference to restraints imposed by truth, prudence, or good taste
extravagant claims for the product

exorbitant implies a departure from accepted standards regarding amount or degree
exorbitant prices

extreme may imply an approach to the farthest limit possible or conceivable but commonly means only to a notably high degree
extreme shyness",first,"excessive, immoderate, inordinate, extravagant, exorbitant, extreme mean going beyond a normal limit<br><br>excessive implies an amount or degree too great to be reasonable or acceptable<br>excessive punishment<br><br>immoderate implies lack of desirable or necessary restraint<br>immoderate spending<br><br>inordinate implies an exceeding of the limits dictated by reason or good judgment<br>inordinate pride<br><br>extravagant implies an indifference to restraints imposed by truth, prudence, or good taste<br>extravagant claims for the product<br><br>exorbitant implies a departure from accepted standards regarding amount or degree<br>exorbitant prices<br><br>extreme may imply an approach to the farthest limit possible or conceivable but commonly means only to a notably high degree<br>extreme shyness"
100,Exsanguinated,the action or process of draining or losing blood,the action or process of draining or losing blood,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third,Oops! So Empty!
101,Exulting,to be extremely joyful,to leap for joy,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"crow, delight, exuberate, glory, jubilate, joy, kvell, rejoice, triumph","crow, delight, exuberate, glory, jubilate, joy, kvell, rejoice, triumph",Oops! So Empty!,third,Oops! So Empty!
102,Fables,a story that is not true,a story in which animals speak and act like people and which is usually meant to teach a lesson,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"allegory, apologue, parable","allegory, apologue, parable",Oops! So Empty!,first,Oops! So Empty!
103,Felon,a painful abscess of the deep tissues of the palmar surface of the fingertip that is typically caused by bacterial infection (as with a staphylococcus) and is marked by swelling and pain  — compare whitlow sense 1,one who has committed a felony,villain,wild,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third,Oops! So Empty!
104,Ferocious,exhibiting or given to extreme fierceness and unrestrained violence and brutality,extremely intense,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"acute, almighty, blistering, deep, dreadful, excruciating, explosive, exquisite, fearful, fearsome, fierce, frightful, furious, ghastly, hard, heavy, heavy-duty, hellacious, intense, intensive, keen, profound, terrible, vehement, vicious, violent","light, moderate, soft","fierce, ferocious, barbarous, savage, cruel mean showing fury or malignity in looks or actions

fierce applies to humans and animals that inspire terror because of their wild and menacing aspect or fury in attack
fierce warriors

ferocious implies extreme fierceness and unrestrained violence and brutality
a ferocious dog

barbarous implies a ferocity or mercilessness regarded as unworthy of civilized people
barbarous treatment of prisoners

savage implies the absence of inhibitions restraining civilized people filled with rage, lust, or other violent passion
a savage criminal

cruel implies indifference to suffering and even positive pleasure in inflicting it
the cruel jokes of schoolboys",first,"fierce, ferocious, barbarous, savage, cruel mean showing fury or malignity in looks or actions<br><br>fierce applies to humans and animals that inspire terror because of their wild and menacing aspect or fury in attack<br>fierce warriors<br><br>ferocious implies extreme fierceness and unrestrained violence and brutality<br>a ferocious dog<br><br>barbarous implies a ferocity or mercilessness regarded as unworthy of civilized people<br>barbarous treatment of prisoners<br><br>savage implies the absence of inhibitions restraining civilized people filled with rage, lust, or other violent passion<br>a savage criminal<br><br>cruel implies indifference to suffering and even positive pleasure in inflicting it<br>the cruel jokes of schoolboys"
105,Fervent,exhibiting or marked by great intensity of feeling,very hot,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"ardent, blazing, burning, charged, demonstrative, emotional, fervid, feverish, fiery, flaming, glowing, hot-blooded, impassioned, incandescent, intense, passional, passionate, perfervid, red-hot, religious, superheated, torrid, vehement, warm, warm-blooded","cold, cool, dispassionate, emotionless, impassive, unemotional","impassioned, passionate, ardent, fervent, fervid, perfervid mean showing intense feeling

impassioned implies warmth and intensity without violence and suggests fluent verbal expression
an impassioned plea for justice

passionate implies great vehemence and often violence and wasteful diffusion of emotion
a passionate denunciation

ardent implies an intense degree of zeal, devotion, or enthusiasm
an ardent supporter of human rights

fervent stresses sincerity and steadiness of emotional warmth or zeal
fervent good wishes

fervid suggests warmly and spontaneously and often feverishly expressed emotion
fervid love letters

perfervid implies the expression of exaggerated or overwrought feelings
perfervid expressions of patriotism",first,"impassioned, passionate, ardent, fervent, fervid, perfervid mean showing intense feeling<br><br>impassioned implies warmth and intensity without violence and suggests fluent verbal expression<br>an impassioned plea for justice<br><br>passionate implies great vehemence and often violence and wasteful diffusion of emotion<br>a passionate denunciation<br><br>ardent implies an intense degree of zeal, devotion, or enthusiasm<br>an ardent supporter of human rights<br><br>fervent stresses sincerity and steadiness of emotional warmth or zeal<br>fervent good wishes<br><br>fervid suggests warmly and spontaneously and often feverishly expressed emotion<br>fervid love letters<br><br>perfervid implies the expression of exaggerated or overwrought feelings<br>perfervid expressions of patriotism"
106,Fickle,"marked by lack of steadfastness, constancy, or stability",changing often,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"capricious, changeable, changeful, flickery, fluctuating, fluid, inconsistent, inconstant, mercurial, mutable, skittish, temperamental, uncertain, unpredictable, unsettled, unstable, unsteady, variable, volatile","certain, changeless, constant, immutable, invariable, predictable, settled, stable, stationary, steady, unchangeable, unchanging, unvarying","inconstant, fickle, capricious, mercurial, unstable mean lacking firmness or steadiness (as in purpose or devotion)

inconstant implies an incapacity for steadiness and an inherent tendency to change
an inconstant friend

fickle suggests unreliability because of perverse changeability and incapacity for steadfastness
performers discover how fickle fans can be

capricious suggests motivation by sudden whim or fancy and stresses unpredictability
an utterly capricious critic

mercurial implies a rapid changeability in mood
made anxious by her boss's mercurial temperament

unstable implies an incapacity for remaining in a fixed position or steady course and applies especially to a lack of emotional balance
too unstable to hold a job",first,"inconstant, fickle, capricious, mercurial, unstable mean lacking firmness or steadiness (as in purpose or devotion)<br><br>inconstant implies an incapacity for steadiness and an inherent tendency to change<br>an inconstant friend<br><br>fickle suggests unreliability because of perverse changeability and incapacity for steadfastness<br>performers discover how fickle fans can be<br><br>capricious suggests motivation by sudden whim or fancy and stresses unpredictability<br>an utterly capricious critic<br><br>mercurial implies a rapid changeability in mood<br>made anxious by her boss's mercurial temperament<br><br>unstable implies an incapacity for remaining in a fixed position or steady course and applies especially to a lack of emotional balance<br>too unstable to hold a job"
107,Fidgeting,uneasiness or restlessness as shown by nervous movements,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"edginess, fidgetiness, flightiness, jitteriness, jumpiness, restiveness, skittishness","fiddle, jerk, jig, jiggle, squiggle, squirm, thrash, thresh, toss, twist, twitch, wiggle, wriggle, writhe",Oops! So Empty!,first,Oops! So Empty!
108,Filly,a young female horse usually of less than four years,a young woman,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"girl, lass, lassie, miss, missy, nymph, sheila 
[Australian & New Zealand]","girl, lass, lassie, miss, missy, nymph, sheila 
[Australian & New Zealand]",Oops! So Empty!,third,Oops! So Empty!
109,Fondling,"to handle tenderly, lovingly, or lingeringly",pamper,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"caress, gentle, love, pat, pet, stroke","caress, gentle, love, pat, pet, stroke",Oops! So Empty!,third,Oops! So Empty!
110,Forage,food for animals especially when taken by browsing or grazing,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"browse, graze, pasture, rustle","browse, graze, pasture, rustle",Oops! So Empty!,third,Oops! So Empty!
111,Formidable,"causing fear, dread, or apprehension",having qualities that discourage approach or attack,tending to inspire awe or wonder,causing fear or awe,offering serious difficulties,"alarming, dire, direful, dread, dreadful, fearful, fearsome, forbidding, frightening, frightful, ghastly, hair-raising, horrendous, horrible, horrifying, intimidating, redoubtable, scary, shocking, spine-chilling, terrible, terrifying","alarming, dire, direful, dread, dreadful, fearful, fearsome, forbidding, frightening, frightful, ghastly, hair-raising, horrendous, horrible, horrifying, intimidating, redoubtable, scary, shocking, spine-chilling, terrible, terrifying",Oops! So Empty!,first,Oops! So Empty!
112,Fornication,consensual (see consensual sense 2) sexual intercourse between two persons not married to each other  — compare adultery,consensual sexual intercourse between two persons not married to each other,consensual sexual intercourse between a man and especially single woman who are not married to each other,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third,Oops! So Empty!
113,Frivolity,the quality or state of being frivolous,a frivolous act or thing,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"facetiousness, flightiness, flippancy, frivolousness, frothiness, levity, light-headedness, light-mindedness, lightness, silliness","earnestness, gravity, seriousness, soberness, solemnity, solemnness",Oops! So Empty!,third,Oops! So Empty!
114,Frivolous,of little weight or importance,lacking in seriousness,of little importance,lacking in seriousness,Oops! So Empty!,"fiddling, foolish, incidental, inconsequential, inconsiderable, insignificant, little, Mickey Mouse, minor, minute, negligible, nugatory, slight, small, small-fry, trifling, trivial, unimportant","big, consequential, eventful, important, major, material, meaningful, momentous, significant, substantial, unfrivolous, weighty",Oops! So Empty!,third,Oops! So Empty!
115,Frolics,to amuse oneself,to play and run about happily,a playful or mischievous action,an occasion or scene of fun,Oops! So Empty!,"bouncy, bubbly, buoyant, crank 
[chiefly dialect], effervescent, exuberant, frolicsome, gamesome, gay, high-spirited, vivacious","low-spirited, sullen",Oops! So Empty!,third,Oops! So Empty!
116,Fumble,to grope for or handle something clumsily or aimlessly,to feel one's way or move awkwardly,to drop or juggle or fail to play cleanly a grounder,to bring about by clumsy manipulation,to feel or handle clumsily,"blow, bobble, boggle, bollix (up), boot, botch, bugger (up), bumble, bungle, butcher, dub, flub, fluff, foozle, foul up, goof (up), louse up, mangle, mess (up), muck up, muff, murder, screw up","blunder, bobble, boo-boo, boob 
[British], brick, clanger 
[British], clinker, error, fault, flub, fluff, gaff, gaffe, goof, inaccuracy, lapse, miscue, misstep, mistake, oversight, screwup, slip, slipup, stumble, trip",Oops! So Empty!,first,Oops! So Empty!
117,Furtive,done in a quiet and secretive way to avoid being noticed,obtained underhandedly,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"shady, shifty, slippery, sly, sneaking, sneaky, stealthy","shady, shifty, slippery, sly, sneaking, sneaky, stealthy","secret, covert, stealthy, furtive, clandestine, surreptitious, underhanded mean done without attracting observation

secret implies concealment on any grounds for any motive
met at a secret location

covert stresses the fact of not being open or declared
covert intelligence operations

stealthy suggests taking pains to avoid being seen or heard especially in some misdoing
the stealthy step of a burglar

furtive implies a sly or cautious stealthiness
lovers exchanging furtive glances

clandestine implies secrecy usually for an evil, illicit, or unauthorized purpose and often emphasizes the fear of being discovered
a clandestine meeting of conspirators

surreptitious applies to action or behavior done secretly often with skillful avoidance of detection and in violation of custom, law, or authority
the surreptitious stockpiling of weapons

underhanded stresses fraud or deception
an underhanded trick",third,"secret, covert, stealthy, furtive, clandestine, surreptitious, underhanded mean done without attracting observation<br><br>secret implies concealment on any grounds for any motive<br>met at a secret location<br><br>covert stresses the fact of not being open or declared<br>covert intelligence operations<br><br>stealthy suggests taking pains to avoid being seen or heard especially in some misdoing<br>the stealthy step of a burglar<br><br>furtive implies a sly or cautious stealthiness<br>lovers exchanging furtive glances<br><br>clandestine implies secrecy usually for an evil, illicit, or unauthorized purpose and often emphasizes the fear of being discovered<br>a clandestine meeting of conspirators<br><br>surreptitious applies to action or behavior done secretly often with skillful avoidance of detection and in violation of custom, law, or authority<br>the surreptitious stockpiling of weapons<br><br>underhanded stresses fraud or deception<br>an underhanded trick"
118,Glib,marked by ease and fluency in speaking or writing often to the point of being insincere or deceitful,showing little forethought or preparation,"smooth, slippery",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third,Oops! So Empty!
119,Goading,to incite or rouse as if with a goad (see goad entry 2 sense 2a),to drive (an animal) with a goad (see goad entry 2 sense 1),a pointed rod used to urge on an animal,something that urges or stimulates into action,a pointed rod used to keep an animal moving,"egg (on), encourage, exhort, nudge, press, prod, prompt, urge","counterincentive, disincentive","motive, impulse, incentive, inducement, spur, goad mean a stimulus to action

motive implies an emotion or desire operating on the will and causing it to act
a motive for the crime

impulse suggests a driving power arising from personal temperament or constitution
buying on impulse

incentive applies to an external influence (such as an expected reward) inciting to action
a bonus was offered as an incentive

inducement suggests a motive prompted by the deliberate enticements or allurements of another
offered a watch as an inducement to subscribe

spur applies to a motive that stimulates the faculties or increases energy or ardor
fear was a spur to action

goad suggests a motive that keeps one going against one's will or desire
thought insecurity a goad to worker efficiency",first,"motive, impulse, incentive, inducement, spur, goad mean a stimulus to action<br><br>motive implies an emotion or desire operating on the will and causing it to act<br>a motive for the crime<br><br>impulse suggests a driving power arising from personal temperament or constitution<br>buying on impulse<br><br>incentive applies to an external influence (such as an expected reward) inciting to action<br>a bonus was offered as an incentive<br><br>inducement suggests a motive prompted by the deliberate enticements or allurements of another<br>offered a watch as an inducement to subscribe<br><br>spur applies to a motive that stimulates the faculties or increases energy or ardor<br>fear was a spur to action<br><br>goad suggests a motive that keeps one going against one's will or desire<br>thought insecurity a goad to worker efficiency"
120,Grafted,a grafted (see graft entry 2 sense transitive 1) plant,the act of grafting,to cause (a scion) to unite with a stock,to implant (living tissue) surgically,to join or unite as if by grafting,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first,Oops! So Empty!
121,Grievance,"the formal expression of a grievance brought especially by an employee as the initial step toward resolution through a grievance procedure  — see also arbitration, grievance arbitration at arbitration, mediation",a cause of distress (as an unsatisfactory working condition or unfair labor practice) felt to afford a reason for complaint or dispute,a cause of distress (such as an unsatisfactory working condition) felt to afford reason for complaint or resistance,the formal expression of a grievance,"suffering, distress","down 
[chiefly British], grudge, resentment, score","down 
[chiefly British], grudge, resentment, score","injustice, injury, wrong, grievance mean an act that inflicts undeserved hurt

injustice applies to any act that involves unfairness to another or violation of one's rights
the injustices suffered by the lower classes

injury applies in law specifically to an injustice for which one may sue to recover compensation
libel constitutes a legal injury

wrong applies also in law to any act punishable according to the criminal code; it may apply more generally to any flagrant injustice
determined to right society's wrongs

grievance applies to a circumstance or condition that constitutes an injustice to the sufferer and gives just ground for complaint
a list of employee grievances",third,"injustice, injury, wrong, grievance mean an act that inflicts undeserved hurt<br><br>injustice applies to any act that involves unfairness to another or violation of one's rights<br>the injustices suffered by the lower classes<br><br>injury applies in law specifically to an injustice for which one may sue to recover compensation<br>libel constitutes a legal injury<br><br>wrong applies also in law to any act punishable according to the criminal code; it may apply more generally to any flagrant injustice<br>determined to right society's wrongs<br><br>grievance applies to a circumstance or condition that constitutes an injustice to the sufferer and gives just ground for complaint<br>a list of employee grievances"
122,Grimacing,"a facial expression usually of disgust, disapproval, or pain","to distort one's face in an expression usually of pain, disgust, or disapproval","a facial expression in which your mouth and face are twisted in a way that shows disgust, disapproval, or pain",a twisting of the face (as in disgust or pain),to twist the face,"face, frown, lower 
 (also lour), moue, mouth, mow, mug, pout, scowl, snoot","mouth, mug",Oops! So Empty!,first,Oops! So Empty!
123,Groggy,weak and unsteady on the feet or in action,"not able to think or move normally because of being tired, sick, etc.","weak, dazed, and unsteady",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third,Oops! So Empty!
